text;label
Jeszcze raz dziękuję wszystkim moim rodakom za stosowanie się do zasad, które do tej pory zostały wskazane, za odpowiedzialność w okresie kwarantanny, za odpowiedzialne podejście, dzwonienie na infolinię, do lekarzy, a nie udawanie się w przypadku złego samopoczucia – gdy czujemy, że możemy mieć coś w rodzaju grypy, co dzisiaj oznacza, że to może być koronawirus – do lekarzy, tam, gdzie są skupiska ludzkie, tam, gdzie pracują pracownicy służby zdrowia;duda
Umrę syty niby Gandolfini (gdzie);taco
I widzę jak na mnie patrzysz, więc ty mi libido pokaż.’;taco
Uważamy, że solidarność w tym bardzo trudnym czasie jest potrzebna;duda
Jak partyzant w tym smutnym jak pizda mieście;taco
Widziałem rozbudowującą się szkołę o długiej historii, powstałą w 1851 roku, w której dopiero teraz buduje się piękną, nowoczesną salę gimnastyczną razem z zapleczem sanitarnym i dodatkowymi klasami;duda
Ogromnie się cieszę, że mogę być na sesji Rady Miasta;duda
Ostatnia stacja: Kabaty;taco
‘18 mnie wykończy, chyba w ‘19 przerwa, ej;taco
Ty przejrzysta jak woda Fiji (i chcę cię na hejnał);taco
Ale chciałbym, żeby z tego w ogromnym stopniu skorzystały także i samorządy;duda
Więc bardzo proszę o wzmożoną ostrożność;duda
Nie potrafił;taco
I dlatego mówię adieu;taco
Cieszę się, że te wczorajsze informacje, które zostały przekazane przez Przewodniczącą Komisji Europejskiej, pokazują, że europejskie myślenie podąża właśnie w tym kierunku;duda
Jestem w kontakcie z Prezydentami państw bałtyckich;duda
Leci za Księciem, raz, dwa, już czeka na nich taksa;taco
Jestem ateistą, ale niech mi dobry Pan pomoże;taco
Kroję sobie bogaczy jak Robin w zielonym szlafroku;taco
Rynek produktów żywnościowych funkcjonuje bardzo dobrze, te półki natychmiast się zapełniły;duda
Są to rzesze ludzi;duda
Lechem Kaczyńskim, i jego Małżonką;duda
W tym liście m;duda
Zachowanie bezpieczeństwa finansowego Polaków należy do absolutnych priorytetów;duda
Te zapisy są realizowane i będą w ustawie – jestem o tym przekonany;duda
A nie lajkach;taco
Puszcza schaftera i Coalsów;taco
Jak wiemy, są jeszcze większe ograniczenia w możliwości poruszania się, możliwości przemieszczania się;duda
Jest to dla mnie bardzo ważne, bo – jak powiedziałem – daje szansę na narodowy konsensus na naszej scenie politycznej co do tych bardzo potrzebnych rozwiązań;duda
Chcemy ożywiać wielkie połacie naszego kraju poprzez realizację wielkich inwestycji;duda
Wyjść muszę, już nie mogę dłużej;taco
Tak, chcemy, by nasze porty były sprawnie połączone z portami nad Adriatykiem i Morzem Czarnym;duda
Potrzebujemy zaufania i solidarności, a przede wszystkim – współpracy;duda
Jeszcze raz bardzo serdecznie dziękuję i życzę obydwu Panom i wszystkim mieszkańcom Staszowa, aby ta inwestycja powstała jak najprędzej, a za nią kolejne i kolejne, dla pożytku miasta, dla pożytku województwa świętokrzyskiego i Rzeczypospolitej;duda
Mam nadzieję, że to właśnie oznacza, iż dzisiejsza Polska poprzez takie działania jest Polską prawdziwie wolną, prawdziwie suwerenną, prawdziwie niepodległą, która pamięta o swoich bohaterach, umie podkreślić, co ważne, i przywrócić dobre imię tam, gdzie próbowano je odebrać, i podkreślić honor tam, gdzie on zawsze był, i godność tam, gdzie zawsze ona była;duda
Bo gdy gasną latarnie to ci panowie są wrodzy i biją;taco
Jak się ma 3 czy 4 miliony mieszkańców, a nie 38 milionów mieszkańców, tak jak ma Polska;duda
Proszę Państwa!Chciałem zaapelować także do Pana Marszałka Senatu Pana Profesora Grodzkiego, aby w jak najszybszym tempie został przez niego zwołany Senat, żeby Senat w jak najszybszym tempie zajął się tymi właśnie przepisami, które mają pomóc polskim przedsiębiorcom, które mają ratować w Polsce miejsca pracy, które mają pomóc polskiemu biznesowi przetrwać ten bardzo trudny czas, a w efekcie mają także i pomóc polskiej gospodarce i nam wszystkim, abyśmy jak najbardziej obronną ręką z tego czasu kryzysowego wyszli;duda
To dlatego, między innymi, wspólnie z ekspertami stworzyłem Narodową Strategię Onkologiczną, która została przyjęta przez Ministerstwo Zdrowia i to dlatego, mam nadzieję, że powstaną również centra medyczne dedykowane seniorom, centra medyczne 75 plus;duda
Te 5-1-5;taco
Aby traktaty europejskie były wobec nas interpretowane tak, jak są interpretowane wobec wszystkich innych;duda
I chęć na biel, On jest fanem White Stripesów;taco
Bardzo im dziękuję za udział w tej Radzie;duda
Nie wiem jaki jest cel ich, lecz chyba mnie nienawidzą;taco
I wierzę, że takie właśnie działanie – mimo wszystkich sporów politycznych – jednak pokazuje, że wspólnota działa, że my, jako Polacy, potrafimy być razem, zwłaszcza w trudnych chwilach, i wspólnie działać dla dobra obywateli;duda
Chcemy ułatwiać wymianę gospodarczą, wymianę turystyczną – chcemy po prostu ułatwiać zwykłą wymianę międzyludzką;duda
Te 5-1-5;taco
Ekhm, ekhm;taco
Bo chcę powiedzieć, że jesteśmy z Państwa służby na tym poziomie, choćby Sojuszu Północnoatlantyckiego, ogromnie dumni;duda
Wygrywa ten kto przegrał, to przecież jest jakiś obłęd;taco
Potem się drą na DJa, by nie grał Bediego, bo ma to być oldschool;taco
To dzwoniła nasza znajoma, przyjaciółka naszej rodziny;duda
Kiedy wieczór zmienia się w świt, coś dobija się do mych drzwi;taco
Jestem ateistą, ale niech mi dobry Pan pomoże..;taco
Wkładaj palto. Masz tu blanta i pal to;taco
I żebyśmy także realizowali program, o którym mówimy od dłuższego czasu, czyli program w jakimś sensie edukacyjny – tego, aby oszczędzać wodę, aby każdy z nas racjonalnie gospodarował wodą, czy to w swoim mieszkaniu, czy to w domu, czy także w swoim ogródku;duda
W naszych dziejach wielokrotnie doświadczyliśmy losu wygnańców i emigrantów;duda
Słyszałem, że coś mruczysz, więc powiedz to reszcie sali;taco
Wyrastają guzy, niby Karkonosze;taco
Kiedy za oczami noszę diabła;taco
Przedyskutowaliśmy aktualną sytuację;duda
Sześć zer, chciałbym kiedyś zrobić sześć zer;taco
Nawet wcześniej, niż pojawiła się na poziomie administracji rządowej, ona właśnie w samorządach się narodziła;duda
Tak właśnie staram się dzisiaj realizować politykę;duda
Kiedy luty zmienia się w lipiec, nie dam rady się przed nią kryć;taco
Tam właśnie były one omawiane ponad podziałami politycznymi – wtedy zasiadałem przy jednym stole z kolegami i koleżankami ze wszystkich stron sceny politycznej i prowadziliśmy prace, zresztą chodziłem później na ten okrągły stół także jako poseł już na Sejm;duda
Pozostawili nam, potomnym, testament ideowy, zawarty w Konstytucji z 1791 roku – pierwszej w Europie i drugiej na świecie – a zarazem w działaniach podjętych dla wzmocnienia struktur państwa, jego siły militarnej, gospodarczej, społecznej;duda
Przed chwilą zakończyło się posiedzenie Rady Bezpieczeństwa Narodowego zwołane przeze mnie w celu omówienia, przedyskutowania strategii działania w walce z koronawirusem;duda
Niby żołnierz na froncie, aha;taco
Z tylu osób zagaduje jej chłopca? Jebany rekord!;taco
Zdrajcy narodu znowu ujdą bezkarnie;taco
Nie wiem skąd wezmę forsę, Kuba śpiewa w duecie;taco
Królowie tafli jak Wayne Gretzky;taco
Te 212 mld zł – ogromna kwota, bo taka jest wartość tego programu – będziemy się starali mądrze rozprowadzić, tak aby rzeczywiście pomóc pracownikom, pomóc przedsiębiorcom, a także ochronić polską gospodarkę;duda
A mówiłem ci: Nie łaź ulicami po nocy;taco
O to właśnie chodziło, by w gronie całej dzisiejszej polskiej sceny politycznej – wszystkich, którzy decydują – omówić te rozwiązania, wysłuchać także głosu opozycji w tej sprawie;duda
Te 30 lat, które tutaj Państwo zapisaliście, zostały naprawdę dobrze wykorzystane;duda
Bo ich nerwy to pitbulle nietrzymane na wodzy i gryzą;taco
Po prostu bezpiecznie wykonujecie telefon, a to pozwala pracować odpowiednio przygotowanym służbom medycznym;duda
Myślę przede wszystkim o państwach bałtyckich, myślę o Słowacji;duda
Awizo, awizo;taco
Wszystkich wojsk specjalnych, nie tylko AGAT-u, ale także Jednostki Wojskowej Komandosów, także FORMOZY, GROM-u, NIL-u – wszystkich naszych jednostek specjalnych, których ponad 3 tys;duda
Godziło to wówczas w wiele interesów sprzecznych z dobrem Ojczyzny, dlatego Konstytucja została obalona;duda
Więc nie zajmuję sobie głowy tym jak żelem żigolak;taco
Samorządowcy, harcerze, grupy wolontariuszy i sąsiedzi niosą konkretną pomoc oraz słowa otuchy seniorom, kombatantom i niepełnosprawnym;duda
Uśmiecham się doń, wychodzi jednak jakiś bezczelny;taco
I wierzymy, że idąc dalej tą samą drogą, zdołamy ustrzec się dramatu, którego doświadczają inne narody;duda
Nasi sąsiedzi wokół to są mniejsze kraje, a jak każdy wie w mniejszym kraju, w mniejszym ośrodku, znacznie łatwiej jest przeprowadzać różnego rodzaju reformy, szeroko zakrojone działania;duda
Artysta z teką myśli, że jest Matejką, a może Banksym;taco
5 minut dalej ich pierwszy całus, całuje w szyję na klatce;taco
Pracy, która stanowi fundament pomyślności narodu;duda
Mam nadzieję, że to pomoże strażakom ochotnikom i rzeczywiście umożliwi im wykonywanie tej jakże ważnej służby, za którą jestem ogromnie wdzięczny, tak jak – myślę – jest wdzięczne całe polskie społeczeństwo;duda
Wracam i widzę awizo;taco
Dzisiaj w pobliżu niezwykle ważnego węzła komunikacyjnego, miejsca przecięcia się dwóch autostrad – A2 i A1, a więc z północy na południe i ze wschodu na zachód;duda
Chciał oddać hołd naszym pomordowanym rodakom;duda
Jeżeli się pomylisz, jeżeli źle działasz – to nie tylko następnym razem cię nie wybiorą, ale jeszcze zostaje na tobie piętno tego, który zaszkodził lokalnej społeczności – nosisz je na sobie ty i nosi je na sobie także twoja rodzina;duda
Mam nadzieję, że w ciągu najbliższych dni to zaopatrzenie będzie się poprawiało;duda
Kiedy siedzę zły na ciebie, piszę teksty, które poznasz już dopiero po premierze;taco
Bo w sytuacji poniechania tych działań, zlekceważenia tego problemu, może okazać się, że za kilka-, kilkanaście czy kilkadziesiąt lat będzie brakowało wody nawet zwykłym gospodarstwom domowym w miastach;duda
Kac gigant i pizza na tłustym cieście;taco
Wypadają ciągle mi włosy a me czoło znowu się marszczy;taco
To było w 2013, w kwiecie wieku, ale w głowie same kolce i chwasty;taco
Ale chcemy mieć także gazociąg z szelfu norweskiego i Baltic Pipe, która w tej chwili jest w budowie, byśmy mogli tłoczyć gaz z szelfu norweskiego do Polski;duda
Nie wydawaj, żyj oszczędnie ­ ciągle szepcą dorośli;taco
Wracam i widzę awizo;taco
Jak Państwo widzieliście w ostatnich dniach, choćby wczoraj wieczorem w Warszawie, były obfite opady deszczu, więc tego deszczu rzeczywiście w ostatnich dniach w naszym kraju spadło dosyć sporo;duda
Awizo, awizo;taco
Dziękuję wszystkim, którzy niosą pomoc i wsparcie;duda
I powtarzam to jak mantrę;taco
I polityce tych pozycji raczej nie mamy w menu;taco
Wyrastają guzy, niby Karkonosze;taco
Powiem wszystkim dziś, Fifi to nie celebryta;taco
Dlatego bardzo proszę, żeby się stosować do tych zasad;duda
Na tym właśnie skupia się wdzięczność Rzeczypospolitej dla jej żołnierzy, którzy w Wojskach Specjalnych służą, że są oni gotowi każdego dnia, o każdej porze dnia i nocy, o każdej godzinie, iść i wykonać najtrudniejsze zadania;duda
Nikt nie rozumie mnie, fatalnie czuję się;taco
Te 5-1-5, nie mam żadnej nowej kliki, bo nie chcę jej mieć;taco
Ale chciałbym, żebyśmy także lepiej dbali o naszych seniorów;duda
Sprawdzę czy są prawdziwe, czy silikon jak w Palo Alto;taco
I żebyście w przyszłości, kiedy już tę działalność zakończycie, z dumą mogli patrzeć na dzieło swoich rąk, swojej myśli i swojej pracy;duda
I sześć szlugów, byś palił i snuł smutki;taco
A iskra robienia burdy wybucha wtedy po stokroć;taco
Ludzie słuchają Szprycera i Marmur, który się robi diamentem nazajutrz;taco
Młody Ernest raczej dobra dusza, żaden łajdak;taco
Oprócz tych elementów poruszyłem jeszcze kwestie konieczności pilnowania, by prawo międzynarodowe było przestrzegane, byśmy realizowali ze sobą współpracę naukową, jak również cele związane z ochroną klimatu i realizacją zasady zrównoważonego rozwoju, co jest dzisiaj także cywilizacyjnie kwestią niezwykle ważną, a tak mocno w Europie akcentowaną;duda
bo nie wiem, czym jest moja twarz;taco
A ci panowie to wrogowie, to ich nocny baraż;taco
W nocy szpile, dwie tequile, potem no se hablar;taco
poza – oczywiście – wskazaniem na konieczność wspólnej walki z koronawirusem, zapobiegania epidemiom na przyszłość i stwarzania ku temu lepszych warunków, bardzo ważne miejsce zajmowała właśnie kwestia przyszłej współpracy gospodarczej i tworzenia mechanizmów, które tę działalność inwestycyjną powodującą wyjście z kryzysu pomogą nam w przyszłości prowadzić;duda
Nim mi resztę prywatności ktoś ukradnie;taco
Nie zaglądam do tych liczb, ale wiem, że wy tak;taco
Barman pyta czy chcę jeszcze. Bardzo proszę;taco
Ale wykonują zadania także poza granicami kraju, w ramach misji sojuszniczych czy czasem w ramach takich operacji, o których głośno mówić nie wolno;duda
Jadę sobie wypić wódę przy palmie;taco
Siedzisz na komodzie, nogi wokół moich... W radiu znowu SOMA gra;taco
Cieszę się, że ten ambitny plan jest;duda
W ogóle to skądś cię pamiętam? Czekaj;taco
Jeżeli porównamy to z innymi krajami, które z problemem suszy borykają się od dawna – weźmy choćby Hiszpanię: 45 % retencjonowanej wody – to widać, jak ogromna jest rozbieżność;duda
Pamiętam, zaskoczony odpowiedziałem, że jestem w domu, w Krakowie, i zapytałem, co się stało;duda
Sobie wymyśliłaś chyba, że tu melanż;taco
Podczas gdy jadłeś kanapki, szynkę, majonez babuni;taco
Czysta wóda pita w brudnych palarniach;taco
Mówię to z pełnym przekonaniem;duda
Przez ostatnie dwa miesiące mieliśmy okazję zobaczyć i przekonać się, jak ważne jest dla nas państwo;duda
Wypili moją krew na hejnał (nie pierwszy raz);taco
To oznacza wejście do korpusu generalskiego Rzeczypospolitej;duda
Poleciałem pisać wersy w Café Belga;taco
Ja znowu nie mam kwitu, kupiłem drogie chorizo;taco
Tłumy uczestniczące w pożegnaniach wszystkich tych, którzy zginęli;duda
Mamy świadomość, że dotknie on także Europę;duda
Bardzo proszę też o szczerość;duda
W tamtych dniach jako Polacy pokazaliśmy, że w chwilach trudnych potrafimy być wspaniałą wspólnotą, potrafimy być solidarni;duda
Wszystkim którzy pozostają na dnie;taco
I dlatego mówię adieu;taco
Tak jak AGAT-u – w jednostce Kedywu Agat, która później stała się słynnym harcerskim batalionem szturmowym Parasol, który walczył w powstaniu warszawskim;duda
Odpowiedź na to uzyskaliśmy oficjalnie wczoraj, kiedy to przedstawiciel Komisji Europejskiej, a dokładnie szefowa Komisji Europejskiej przedstawiła propozycję wstępnie uzgodnioną z państwami członkowskimi, właśnie związaną z europejskim funduszem odbudowy, czyli takim, który zostanie specjalnie stworzony na potrzeby gospodarczej odbudowy Europy, na potrzeby rozwinięcia działalności inwestycyjnej – by poprzez inwestycje przejść przez kryzys i wyjść z niego do nowej prosperity – o wartości 750 mld euro, a więc kwotę, która jest niewyobrażalna, plus nowe założenia do przyszłego budżetu unijnego;duda
Życia sensu będę sam szukał;taco
Nie robimy tego branżowo, nie dzielimy na rodzaje działalności w sensie różnych branż, tylko robimy to jednolicie, by miało to charakter powszechny;duda
Przeżywanie żałoby stało się wtedy naszymi wielkimi narodowymi rekolekcjami;duda
Panie Boże, pomocy;taco
Szybki powrót z poczty, bo z Jonaszem idę na wino;taco
Mam nadzieję, że w krótkim czasie poradzimy sobie i wszelkie niedobory w tym zakresie zostaną uzupełnione i wszyscy lekarze i pielęgniarki, cały personel medyczny, także diagności laboratoryjni, którzy pracują, walcząc z koronawirusem, a także wszystkie inne osoby, które są w potencjalnym zagrożeniu, będą mogły to wyposażenie uzyskać i będą mogły czuć się bezpiecznie;duda
Bardzo dużą część dyskusji zajęła sprawa ruchu granicznego, tego, jak jest realizowana ochrona naszych granic, a także jak postępujemy z obcokrajowcami, którzy chcą się dostać na teren Polski;duda
Wokoło lata koko, à propos;taco
Biorę taksówkę, bo przejechać chcę na drugą stronę mostu (Mostu);taco
Za dzieciaka chciałem latać, niby Buzz Lightyear;taco
Kiedy za oczami noszę diabła;taco
W związku z tym chcemy być także gwarantem europejskiego bezpieczeństwa;duda
Kiedy za oczami noszę diabła;taco
Twoje biodra są jak winyl, więc jeszcze je kręć;taco
Z czego i jak będziemy żyć, kiedy epidemia się skończy? – zastanawia się dziś wielu Polaków;duda
Mówię jej, że kiedy coś mi się przytrafi;taco
Wszyscy trochę zaniedbani, każdy pas zaciska;taco
Puszcza Jolene a potem pije porto do dna;taco
Wielu z nas dokładnie pamięta, co robiło 10 lat temu – 10 kwietnia 2010 roku;duda
Gdy rozkminiam co ja tu robię, goła Pani kroczy z Heleną;taco
Ale wracam, łapię metro, stacja Dworzec Wileński;taco
Myślę tutaj o Panu Ministrze, o mnie;duda
Jeszcze raz;taco
Musimy na to odpowiedzieć i dlatego powstała Narodowa Strategia Onkologiczna, żebyśmy stworzyli sposób zwalczania nowotworów, czyli w jaki sposób działać, i żeby za tym poszły fundusze;duda
A nie są to liczby bagatelne, bo chodzi o ok;duda
Ponad wszelką wątpliwość Konstytucję uchwalono w imię niepodległości;duda
(NASTĘPNA STACJA): w tym smutnym jak pizda mieście;taco
Tata cię nie uczył, bo oglądał losowanie;taco
Barman pyta mnie czy polać jeszcze. Bardzo proszę;taco
(NASTĘPNA STACJA): litr wódki i pół wina;taco
Tak się składa, że gdy spojrzymy na historię, widzimy, że paradoksalnie kryzys i stan trudny bardzo często – dzięki twardej postawie ludzi, dzięki mądrym działaniom – dawał także impuls do później przyspieszonego rozwoju i niezwykłej prosperity;duda
Ma dziewiętnaście, wygląda na siedemnaście;taco
Każdy tu chce być bardziej na offie, niż Arczi Rojek;taco
Wszystkim, którzy są zaangażowani w te prace, w przygotowanie tych przepisów – a śmiało mogę powiedzieć, że trwa to dzień i noc – ogromnie dziękuję;duda
Gdy ludzie w lokalu są jacyś za piękni;taco
Społeczeństwo truje zarazkami;taco
Proszę Państwa, chcę powiedzieć jedno: to jest właśnie moja wizja rozwoju Polski;duda
Polska, w której są miejsca pracy tworzone w spokojnej atmosferze realizacji zadań, a nie kłótni, nie awantur, współdziałania pomiędzy władzami samorządowymi i centralnymi, i w obrębie władz centralnych;duda
Ach, te klubokawiarnie;taco
Event słaby ma zasięg, ej;taco
Potrzebujemy jej, by razem pokonać to zagrożenie – żeby wspólnie przetrwać ten trudny dla Polski, Europy i świata czas;duda
Moi sąsiedzi grubi i grube ich labradory;taco
To była pierwsza sprawa, a druga sprawa to były efekty spotkania, które razem z Panią Minister Rozwoju Jadwigą Emilewicz dwa dni temu odbyliśmy z przedsiębiorcami branży tekstylnej, pytając o ich sytuację, słuchając tego, w jakiej sytuacji znajdują się obecnie i jakie są ich postulaty, dotyczące tego, jakiej jeszcze pomocy by oczekiwali, jakiego wsparcia by oczekiwali, żeby umożliwić im, pomóc im przetrwać ten bardzo trudny czas, który obecnie przeżywamy;duda
Szok, rozpacz, niedowierzanie;duda
Że siedzę z kolegami i cię ignoruję;taco
Żywność w Polsce jest;duda
Zrobili ze mnie Boga;taco
Te bestie się strachem żywią, a karmi je telewizor.;taco
A teraz jadę nocą, gadam do swej fury, jestem Night Rider;taco
Nie potrafię dokończyć Mięsa (Mięsa), to pisanie chyba mi nie w smak (nie w smak);taco
Niezbędne rozwiązania trzeba uzgodnić i natychmiast wdrożyć;duda
żołnierzy służy na co dzień Rzeczypospolitej;duda
Moje rapy dzień w dzień w tej studenckiej rozgłośni;taco
Programu, który wśród wielu innych mających w przyszłości zapobiegać klęskom suszy w Polsce, będzie realizowany w ramach polityki prowadzonej obecnie przez polski rząd, przez Ministerstwo Gospodarski Morskiej i Żeglugi Śródlądowej;duda
Ale teraz mówię adieu wszystkim którzy wyczekują aż upadnę!;taco
Natomiast chwilę później miała miejsce uroczystość, w trakcie której – w obecności Pana Premiera Mateusza Morawieckiego – doszło do odwołania Wicepremiera Pana Jarosława Gowina, który – jak wiemy – złożył dymisję i powołania na urząd Wicepremiera Rządu Rzeczypospolitej Polskiej Pani Minister Rozwoju Jadwigi Emilewicz;duda
Dziękuję żołnierzom Wojska Polskiego oraz tym z Państwa, którzy zabezpieczają dostęp do najpotrzebniejszych usług i towarów;duda
Uważam, że jest to bardzo ważne i uważam, że ambitne państwo powinno takimi właśnie możliwościami dysponować;duda
Panie puszczam Jacka White'a, gdy dziewczynę rozbieram?;taco
Ta rocznica przypada bowiem w szczególnym momencie – w czasie kiedy cała Polska i świat zmagają się z epidemią koronawirusa;duda
(NASTĘPNA STACJA): w tym smutnym jak pizda mieście;taco
By odbudowywać naszą wspólnotę mimo błędów, jakie na co dzień popełniamy, po to, by była w stanie sprostać najtrudniejszym wyzwaniom;duda
Prosimy o przekazanie życzeń i pozdrowień od nas także w domu;duda
Ale mam rocznego syna, także mnie proszę zostawić;taco
A wszystko co robimy, robimy dla ładnych kobiet;taco
Męczą mnie demony, robię zwrot od nich;taco
Chcę bardzo mocno podkreślić: nasze Wojska Specjalne mają swoją tradycję;duda
Tęsknie za ludzkim wzrokiem, tęsknie za ich spojrzeniem;taco
Ale bardzo proszę i jeszcze raz apeluję do wszystkich: proszę o ostrożność, o szczególną empatię właśnie w odniesieniu do osób samotnych, starszych, żeby się dowiadywać, czy mają zaopatrzenie, czy trzeba im w czymś pomóc, czy trzeba im zrobić zakupy;duda
Mózg jak karabin, mógłbym zabić kogoś, zgładzić myślą;taco
Czuwa Jan Paweł II;taco
Chcemy być nie tylko sami suwerenni, jeżeli chodzi o dostawy tego surowca z różnych kierunków – i w związku z tym mieć możliwość wyboru, choćby przez to, że de facto możemy od każdego, kto tylko oferuje dostawę, przyjmować gaz do naszego gazoportu – ale chcemy być także hubem tego źródła energii na Europę Środkową, chcemy, by od nas pobierano gaz do innych krajów, tam, gdzie jest potrzebny;duda
Sobie wymyśliłaś chyba, że tu melanż;taco
To strata czasu, ayy;taco
Znowu po tych klubach żonglerka jak Dele Alli;taco
Właśnie dzięki temu utrzymujemy stosunkowo niski wzrost zachorowań – dzięki Państwa odpowiedzialności, dzięki temu, że podchodzą Państwo do tej sprawy poważnie, że stosujecie środki zapobiegawcze, o które prosimy i o których informacja jest w tej chwili powszechna;duda
Ktoś mnie pyta z kim tu jestem;taco
Z uwagi na rangę tego aktu prawnego zwołałem posiedzenie Rady Bezpieczeństwa Narodowego;duda
Wiele osób traci pracę lub obawia się o swoje źródło utrzymania;duda
Białe gówno ptaka ozdobiło czarne Porsche;taco
TVP chce abonament, nie mam telewizora;taco
Upłynęło tyle lat (upłynęło tyle lat), nie wiem kiedy to minęło nawet;taco
Bo nie jestem Janek Brzechwa, nie spłodziłem Pana Kleksa;taco
Tak mnie irytuje, gdy nie odpisujesz (ej, hej, hej);taco
Swiat był tylko wu-efem;taco
Ten kontakt i bycie z ludźmi jest dla mnie bardzo ważne, mam takie wewnętrzne poczucie, że wszyscy właśnie temu głównie służymy, żeby być blisko ludzi, żeby realizować ich potrzeby, że do tego w gruncie rzeczy sprowadza się cały sens polityki w kraju, który jest krajem demokratycznym;duda
Wszystko, dosłownie wszystko! Będziemy szukali ku temu wszelkich możliwych rozwiązań;duda
